"Name", "Chrom.number", "Area"
"C_selaginoides",  "18",  "1"
"He_micranthum", "18", "1"
"L_acuticarpum",  "15" , "1"
"L_africanum",  "15",  "1"
"L_album",  "14",  "0"
"L_alpinum",  "9",  "0"
"L_arboreum", "14", "0"
"L_aroanium1", "18", "0"
"L_austr_mauritanicum", "9", "0"
"L_austriacum",  "9",  "0"
"L_bienne",  "15",  "0"
"L_campanulatum",  "14",  "0"
"L_capitatum", "14", "0"
"L_catharticum",  "8", "0"
"L_comptonii", "15", "1"
"L_corymbiferum", "9", "0"
"L_corymbulosum", "9", "0"
"L_decumbens1", "9", "0"
"L_elegans", "14", "0"
"L_flavum", "15", "0"
"L_gallicum",  "10", "0"
"L_gracile", "15", "1"
"L_grandiflorum", "8", "0"
"L_gyaricum", "15", "0"
"L_heterostylum",  "15", "1"
"L_hirsutum", "8", "0"
"L_hologynum", "21", "0"
"L_kingii", "13", "1"
"L_leonii", "9", "0"
"L_lewisii",  "9", "1"
"L_littorale", "36", "1"
"L_macraei", "36", "1"
"L_maritimum",  "10", "0"
"L_mucronatum1", "14", "0"
"L_narbonense", "14", "0"
"L_nervosum", "15", "0"
"L_nodiflorum",  "13", "0"
"L_pallescens", "9", "0"
"L_perenne", "9", "0"
"L_prostratum", "18", "1"
"L_pubescens", "8", "0"
"L_punctatum1", "9", "0"
"L_pycnophyllum", "9", "0"
"L_rupestre", "18", "1"
"L_seljukorum", "8", "0"
"L_setaceum", "9", "0"
"L_stelleroides",  "9", "0"
"L_striatum", "9",  "1"
"L_strictum", "9", "0"
"L_suffruticosum1", "36", "0"
"L_tauricum", "15", "0"
"L_tenue1", "10", "0"
"L_tenuifolium1", "9", "0"
"L_trigynum",  "10", "0"
"L_usitatissimum", "15", "0"
"L_vernale", "15", "1"
"L_viscosum", "8", "0"
"Ra_linoides", "9", "01"
"Re_indica", "11", "0"
"S_digynum", "6", "1"
